,Difference_In_Median_Brca,Difference_In_Median_Endo,Difference_In_Median,present_absent
A2ML1,,1.10585,,True
ACVR1,1.24605,,,True
ADAMTS12,1.0132,,,True
ANXA8,1.4107499999999995,,,True
ARL4C,1.1912,,,True
ARMC5,1.1857000000000002,,,True
ARMC9,1.07515,,,True
C4B,1.29965,,,True
CAPN13,1.7351,,,True
CAPN9,1.13225,,,True
CD207,,1.105,,True
CEP164,1.28705,,,True
COL16A1,1.2193500000000002,,,True
COL17A1,2.8085500000000003,,,True
COL24A1,1.0278,,,True
COL5A2,1.60775,,,True
COL5A3,1.0868,,,True
CYB5A,1.36025,,,True
DOCK1,1.11835,,,True
DPAGT1,1.1552,,,True
DST,1.2635500000000002,,,True
EFNA1,1.2562,,,True
EI24,1.2159,,,True
EXT2,1.04815,,,True
FBLN5,1.7506,,,True
FGFRL1,1.5052,,,True
GALNT10,1.3169499999999998,,,True
HLA-DRB3,,1.013,,True
HLA-DRB5,,1.597,,True
HOXC10,2.0642,,,True
IER3IP1,1.295,,,True
IL1RN,,1.1079999999999999,,True
KRT16,,1.0975,,True
KRT4,,1.2755999999999998,,True
KRT7,,1.2520000000000002,,True
KRT75,2.90475,,,True
LAMC2,1.8163,,,True
LIMA1,1.40765,,,True
MARCH6,1.03155,,,True
MSX2,1.4407,,,True
MTUS1,1.2567,,,True
MUC5AC,2.0904000000000003,,,True
NAT1,2.3277,,,True
NAT14,1.08365,,,True
NCCRP1,,1.509,,True
NOXA1,1.2908,,,True
NTN4,2.70755,,,True
P3H1,1.0759999999999998,,,True
PADI2,,1.044,,True
PAFAH2,1.0464,,,True
PER1,1.3409,,,True
PIGR,2.1049,,,True
PRAMEF17,3.7674,,,True
PSD,2.0233,,,True
PSD2,3.0286,,,True
PTK7,1.1951,,,True
RAB30,1.1201,,,True
RDH12,1.3321,,,True
RFT1,1.1740000000000002,,,True
S100A2,2.9277000000000006,,,True
SEC16A,1.2131999999999998,,,True
SHISA2,3.55305,,,True
SLC12A1,2.5044000000000004,,,True
SLITRK1,2.6174,,,True
SORCS2,1.79025,,,True
SSNA1,1.16015,,,True
STX18,1.09525,,,True
TGFB3,1.43805,,,True
TOR1B,1.0046,,,True
VWDE,2.85295,,,True
WNT5A,1.7832500000000002,,,True
